DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	species
COLOR	#ff0000
DATA
CDM37049.1	#90caab	Penicillium roqueforti
ACV33306.1	#9c91e7	Nebalia kensleyi
KAF8775057.1	#49e6f5	Digitaria exilis
EYC33672.1	#db9b1f	Ancylostoma ceylanicum
CAH0046581.1	#afe815	Clonostachys solani
XP_008711241.1	#61a0d8	Cyphellophora europaea
KAF4634091.1	#3b19ed	Cudoniella acicularis
KAF2657265.1	#0c9a6a	Lophiostoma macrostomum
ADI99790.1	#6d77eb	Artemia sinica
KXN67968.1	#2fd49b	Conidiobolus coronatus
GAW21127.1	#7a4b1c	fungal sp. No.14919
KAF8740896.1	#2aa983	Amanita brunnescens
KXN64901.1	#2fd49b	Conidiobolus coronatus
RKP10276.1	#0cfead	Thamnocephalis sphaerospora
KAI0163236.1	#061ff2	Pestalotiopsis sp. NC0098
ODM98986.1	#c58a90	Orchesella cincta
CAG8958234.1	#406c3a	Hymenoscyphus fraxineus
WP_073785867.1	#047274	Streptomyces uncialis
WP_063778706.1	#bf8638	Streptomyces albus
VVC92082.1	#315ced	Leptidea sinapis
GAT58369.1	#b5907c	Mycena chlorophos
XP_036379707.1	#531127	Megalops cyprinoides
CCA94927.1	#da8947	Mastigoproctus giganteus
RMZ12652.1	#aef9dd	Hortaea werneckii
KAF7536896.1	#2b5766	Neopestalotiopsis clavispora
XP_043019533.1	#9845dc	Diaporthe citri
KAG8810691.1	#e51712	Serendipita sp. 399
KAF3390002.1	#e075e3	Talaromyces pinophilus
XP_047974400.1	#04d11d	Salvia hispanica
CAG9811778.1	#cbca7b	Chironomus riparius
KAF3013696.1	#c2f4c4	Neopestalotiopsis sp. 37M
XP_025690688.1	#cf5140	Arachis hypogaea
KAF6837185.1	#a1e082	Colletotrichum plurivorum
XP_007901770.1	#2fff9a	Callorhinchus milii
ORX97417.1	#e9d827	Basidiobolus meristosporus
PQM35760.1	#49247d	Prunus yedoensis
XP_049879219.1	#2d2c9f	Pectinophora gossypiella
KAF5944447.1	#4862ca	Camellia sinensis
XP_049152493.1	#c29828	Colletotrichum lupini
PVH81186.1	#6e3a04	Cadophora sp. DSE1049
WP_190022091.1	#3e151e	Streptomyces hiroshimensis
CAG8727525.1	#afb97a	Rhizophagus irregularis
XP_037211021.1	#fa8a8f	Fusarium tjaetaba
XP_013107071.1	#e6d9e6	Stomoxys calcitrans
VBB73096.1	#abc4d9	Podospora comata
KAG9140073.1	#5e2adc	Lithospermum erythrorhizon
WP_242513620.1	#7bd4a2	Galbibacter mesophilus
KXJ87859.1	#c3d540	Microdochium bolleyi
VDM51685.1	#1327d3	Angiostrongylus costaricensis
GFT90425.1	#8be229	Nephila pilipes
XP_046751829.1	#fcf0fa	Diprion similis
KAH7082308.1	#21c33a	Paraphoma chrysanthemicola
XP_014613673.1	#894951	Polistes canadensis
KRT78718.1	#36ae29	Oryctes borbonicus
KAI4498981.1	#90eb9b	Mischocyttarus mexicanus
CAG8957206.1	#406c3a	Hymenoscyphus fraxineus
KAI2883860.1	#86fb33	Aspergillus niger
EFJ24536.1	#8b33fd	Selaginella moellendorffii
RZC03667.1	#37c6da	Glycine soja
XP_011195600.1	#56070d	Zeugodacus cucurbitae
XP_033651860.1	#65a0c9	Westerdykella ornata
KAI6350725.1	#f8add9	Pyricularia grisea
ORX86630.1	#e9d827	Basidiobolus meristosporus
RYP73355.1	#4f70f7	Monosporascus sp. CRB-9-2
KAI1342836.1	#0a2b88	Xylariaceae sp. FL0016
MAU47438.1	#25ecb1	Salipiger sp.
KAF1830299.1	#b223e8	Decorospora gaudefroyi
XP_039128129.1	#820202	Dioscorea cayenensis
XP_021300441.1	#1260f7	Herrania umbratica
CAA7268244.1	#fa5678	Cyclocybe aegerita
WP_102687772.1	#3d473e	nan
XP_033519297.1	#15f062	Dothidotthia symphoricarpi
EXF80489.1	#e84035	Colletotrichum fioriniae
HCF29689.1	#af7169	Cyanobacteria bacterium UBA11049
Q8I6K2.1	#80a120	Holotrichia diomphalia
TVU16204.1	#6eb074	Eragrostis curvula
XP_021957545.2	#abc98f	Folsomia candida
KIM27070.1	#507c4e	Serendipita vermifera
KIN02411.1	#f813fd	Oidiodendron maius
POS79013.1	#357e17	Diaporthe helianthi
CAG9111352.1	#4d354d	Plutella xylostella
EMP32668.1	#9b1232	Chelonia mydas
RCI09471.1	#28abff	Ophiocordyceps polyrhachis-furcata
XP_027232115.1	#98715c	Penaeus vannamei
CAE1263711.1	#6c16c5	Sepia pharaonis
GAT51082.1	#b5907c	Mycena chlorophos
XP_033536367.1	#f4c9b3	Eremomyces bilateralis
PVU85309.1	#6be212	Smittium megazygosporum
XP_009223021.1	#d8e6f5	Gaeumannomyces tritici
TNN52531.1	#d37a56	Liparis tanakae
PPJ57611.1	#61392c	Cercospora berteroae
XP_023520010.1	#d3086a	Cucurbita pepo
XP_008099316.1	#542f1e	Colletotrichum graminicola
KAG8298950.1	#9520fb	Homalodisca vitripennis
KAF6802077.1	#ecee66	Colletotrichum sojae
OCL13772.1	#4242ca	Glonium stellatum
KAF1994200.1	#3c4149	Amniculicola lignicola
KAI3322651.1	#6c41aa	Xylariaceae sp. AK1471
XP_016619141.1	#8a28a0	Cladophialophora bantiana
KXH65376.1	#c0ef69	Colletotrichum nymphaeae
OVA00542.1	#02c72b	Macleaya cordata
XP_007386222.1	#c6db52	Punctularia strigosozonata
KAH7065143.1	#960386	Macrophomina phaseolina
KAH8637333.1	#71bfaa	Alternaria alternata
KAG9185135.1	#7ec6e2	Alternaria panax
KAI0474091.1	#fee6d6	Xylariaceae sp. FL0804
XP_013322977.1	#bd7e01	Rasamsonia emersonii
XP_023344481.1	#551bca	Eurytemora affinis
KKY29540.1	#a354c3	Diaporthe ampelina
KAG9074023.1	#eb1e40	Ceratobasidium sp. UAMH 11750
XP_001600430.1	#560828	Nasonia vitripennis
KAH9905243.1	#cf34b9	Xylariomycetidae sp. FL2044
XP_014261820.1	#2ffc64	Cimex lectularius
USP77635.1	#8addde	Curvularia clavata
XP_011098100.1	#0fe155	Sesamum indicum
VDL71823.1	#552702	Nippostrongylus brasiliensis
KAI3876256.1	#9c4842	Papaver bracteatum
WP_236438320.1	#e235dd	Pseudomonas syringae
XP_045268164.1	#ac8821	Colletotrichum gloeosporioides
KLP06367.1	#920ca0	Fusarium fujikuroi
XP_035348869.1	#c5b561	Talaromyces rugulosus
PIA47837.1	#0910a3	Aquilegia coerulea
XP_014213229.1	#0b6e93	Copidosoma floridanum
CAA7404096.1	#359428	Spirodela intermedia
XP_010100568.1	#0048c1	Morus notabilis
WP_068326427.1	#8f901f	Psychrobacter sp. P2G3
KAF5280180.1	#d7d31c	Abscondita terminalis
KFA69375.1	#7a546d	Stachybotrys chlorohalonata
XP_043629003.1	#5c67fc	Erigeron canadensis
KAF1963979.1	#e47fb7	Bimuria novae-zelandiae
KAI4151775.1	#07db9f	Diploschistes diacapsis
TKY59314.1	#29b6d0	Spatholobus suberectus
XP_022139808.1	#fafccb	Momordica charantia
XP_011506306.1	#a6607d	Ceratosolen solmsi
XP_049169634.1	#c1ab78	Wardomyces moseri
AAB36150.1	#4a9fa8	Carcinoscorpius rotundicauda
KOX67352.1	#87e1c4	Melipona quadrifasciata
CAA9998125.1	#93df4c	Nesidiocoris tenuis
KAF4312174.1	#9af3e5	Botryosphaeria dothidea
KAF3405036.1	#e075e3	Talaromyces pinophilus
XP_006692366.1	#d93c61	Chaetomium thermophilum
WP_165748587.1	#30a346	Cellulophaga sp. Z1A5H
KAG9189321.1	#7ec6e2	Alternaria panax
XP_033403005.1	#7bec81	Aplosporella prunicola
XP_013078174.1	#4a34ec	Biomphalaria glabrata
XP_011320825.1	#b797c8	Fusarium graminearum
KAI1794979.1	#63acdb	Ganoderma leucocontextum
PIA16828.1	#b8cd79	Coemansia reversa
KAF7536017.1	#2b5766	Neopestalotiopsis clavispora
RYO85502.1	#01250c	Monosporascus cannonballus
XP_045997316.1	#b22027	Boeremia exigua
KAG6850331.1	#1bf2d5	Arthromyces matolae
CAB0037936.1	#766c47	Trichogramma brassicae
PPQ98988.1	#653d2b	Gymnopilus dilepis
KAG8752937.1	#ffbbd8	Serendipita sp. 396
KAI3994167.1	#5c6786	Papaver californicum
VDP12493.1	#5b10c7	Soboliphyme baturini
XP_033521031.1	#15f062	Dothidotthia symphoricarpi
KAG4067980.1	#81f29b	Bradysia odoriphaga
XP_038894088.1	#e66e1f	Benincasa hispida
KAF9240832.1	#8bc4e2	Melanogaster broomeanus
RPA80044.1	#b9a0dc	Ascobolus immersus
PIN07545.1	#e1f1cd	Handroanthus impetiginosus
RKU47071.1	#b3e639	Coniochaeta pulveracea
ELK00435.1	#913eb9	Pteropus alecto
XP_008555005.1	#4e163a	Microplitis demolitor
KAH8886012.1	#7e34fd	Thozetella sp. PMI_491
KZP16341.1	#de0ea2	Fibularhizoctonia sp. CBS 109695
OAE22712.1	#a6ad27	Marchantia polymorpha
RKP23830.1	#289d2e	Syncephalis pseudoplumigaleata
XP_031874716.1	#b86dbf	Venustampulla echinocandica
KAG7118751.1	#a6579e	Verticillium longisporum
KAG0150759.1	#9987f0	Cronartium quercuum
XP_031624103.1	#ba95e0	Contarinia nasturtii
XP_033684086.1	#a96294	Trematosphaeria pertusa
CDN40916.1	#ad4ff8	Cytherelloidea californica
MCJ1348780.1	#779aee	Peltigera leucophlebia
WP_100596367.1	#870b3f	Streptomyces sp. CB01635
PSR88711.1	#7fa091	Coniella lustricola
KXN80929.1	#a114d8	Leucoagaricus sp. SymC.cos
WP_091874339.1	#f2e807	Pricia antarctica
KAF3049053.1	#f90dc4	Didymella keratinophila
XP_031865071.1	#b86dbf	Venustampulla echinocandica
AHL24706.1	#593167	Corcyra cephalonica
KAI0342041.1	#7c295e	Trametopsis cervina
CAG8747321.1	#13b621	Cetraspora pellucida
XP_007828399.1	#105cda	Pestalotiopsis fici
KRT78719.1	#36ae29	Oryctes borbonicus
MBA2278691.1	#8c97bb	Chloroflexia bacterium
WP_254399292.1	#ceb891	Streptomyces sp. AC602_WCS936
KAH9507489.1	#c07b6a	Bulinus truncatus
CCA94923.1	#da8947	Mastigoproctus giganteus
KAH6911014.1	#642fbe	Coprinopsis sp. MPI-PUGE-AT-0042
KAI3391688.1	#ffea74	Diaporthe ilicicola
KJZ69093.1	#f8ba17	Hirsutella minnesotensis
KAH6900712.1	#e4c447	Thelonectria olida
CAD6229539.1	#78ba37	Miscanthus lutarioriparius
KAI3457552.1	#2bf880	Paulownia fortunei
NP_511138.2	#8ab5e3	Drosophila melanogaster
KAF5004198.1	#58beb4	Fusarium decemcellulare
VDO84098.1	#3439d3	Haemonchus placei
KAF7723075.1	#56cb3e	Entomophthora muscae
XP_048536722.1	#0cb248	Triticum urartu
PMD45018.1	#345e05	Hyaloscypha variabilis
CEO59275.1	#d3d87a	Penicillium brasilianum
KKY25721.1	#37b99e	Phaeomoniella chlamydospora
EMS64469.1	#0cb248	Triticum urartu
MBM3444714.1	#1bbb2b	Bacteroidetes bacterium
XP_003848151.1	#1c1bcd	Zymoseptoria tritici
KAI3954936.1	#942eea	Papaver armeniacum
MBN3309470.1	#5157e4	Amia calva
KAH1217339.1	#b9e0fe	Glycine max
KAI5853627.1	#f8513b	Tricharina praecox
KAF2840994.1	#2bbc2c	Patellaria atrata
XP_046017627.1	#40e548	Microdochium trichocladiopsis
TMC89441.1	#c4686a	Chloroflexi bacterium
RPA74265.1	#b9a0dc	Ascobolus immersus
KAH6569858.1	#6203e7	Batrachochytrium salamandrivorans
KAH9809401.1	#93907f	Melampsora americana
XP_034678883.1	#f205e1	Vitis riparia
BAM15846.1	#a6eea4	Portulaca oleracea
XP_031000564.1	#2b5c21	Thyridium curvatum
XP_014674551.1	#0e9e9a	Priapulus caudatus
KFY94422.1	#e35b5a	Pseudogymnoascus sp. VKM F-4518 (FW-2643)
KAI0393896.1	#59bd51	Xylariaceae sp. FL0594
EXF76255.1	#e84035	Colletotrichum fioriniae
CAQ64601.1	#c0676d	Cyanoplax hartwegii
KAF2843002.1	#2bbc2c	Patellaria atrata
KAG8238619.1	#9480ae	Ladona fulva
RHN59604.1	#ebbd22	Medicago truncatula
XP_040715854.1	#e2e6ca	Pseudomassariella vexata
CAB3245541.1	#fc1f14	Arctia plantaginis
AWK28002.1	#0b3b0a	Mesochaetopterus taylori
XP_033127104.1	#94cbf4	Anneissia japonica
KAH1218036.1	#b9e0fe	Glycine max
GER46573.1	#373849	Striga asiatica
MCJ1439468.1	#6c24ed	Xylographa pallens
XP_046078072.1	#2cc5bc	Talaromyces proteolyticus
KAH7689592.1	#470fbd	Aphelenchus avenae
OAL22026.1	#5de02a	Fonsecaea multimorphosa
KAG6828514.1	#de89ad	Tricholoma furcatifolium
KAG6398110.1	#b27298	Salvia splendens
XP_021373732.1	#a02ab2	Mizuhopecten yessoensis
KAF6830300.1	#d25608	Colletotrichum musicola
XP_021952780.2	#abc98f	Folsomia candida
KAF2303639.1	#dd3028	Hevea brasiliensis
KAF4556495.1	#0fe934	Elsinoe fawcettii
PGH19237.1	#4fa673	Polytolypa hystricis
KAF7165772.1	#e32fa8	Aspergillus felis
XP_030055208.1	#5a84c7	Microcaecilia unicolor
KAG5807334.1	#9b8e55	Fusarium xylarioides
MCJ1424722.1	#dc1110	Sticta canariensis
XP_037893205.1	#474407	Glossina fuscipes
KAE8441198.1	#825d91	Helotiales sp. DMI_Dod_QoI
XP_007833667.1	#105cda	Pestalotiopsis fici
XP_014241691.2	#2ffc64	Cimex lectularius
XP_037220077.1	#03c14f	Mycena indigotica
XP_007332581.1	#73a770	Agaricus bisporus
XP_003664628.1	#142fa1	Thermothelomyces thermophilus
KAA8911651.1	#b6fbd8	Sphaerosporella brunnea
PPQ71453.1	#8a093c	Panaeolus cyanescens
BAA13324.1	#abf1d8	Riptortus clavatus
EDW48378.1	#adc3da	Drosophila sechellia
VDB91916.1	#0f003a	Peniophora sp. CBMAI 1063
MBN3318661.1	#eeadec	Atractosteus spatula
RKU47247.1	#b3e639	Coniochaeta pulveracea
QCD76727.1	#bfe36c	Vigna unguiculata
KAF8500855.1	#d6a562	Russula emetica
RHN71897.1	#ebbd22	Medicago truncatula
PKK32871.1	#2e180d	Columba livia
KAF5303332.1	#a93ab0	Lamprigera yunnana
XP_024375697.1	#df6f2a	Physcomitrium patens
XP_045790610.1	#3eb236	Trifolium pratense
GEU89019.1	#89ed12	Tanacetum cinerariifolium
PQE32183.1	#673730	Rutstroemia sp. NJR-2017a WRK4
PSS24660.1	#285c43	Actinidia chinensis
KAF7754037.1	#56cb3e	Entomophthora muscae
OQE16461.1	#d66a64	Penicillium steckii
PGH18781.1	#273fe0	Helicocarpus griseus
KAH7390635.1	#b3b0f5	Pyrenochaeta sp. MPI-SDFR-AT-0127
CAD12808.1	#40131c	Epiperipatus sp. TB-2001
RZF45152.1	#8a4a7c	Laodelphax striatellus
XP_018034418.1	#e2f238	Paraphaeosphaeria sporulosa
KAF2345203.1	#ad31d9	Trinorchestia longiramus
KAH7142037.1	#56789d	Dactylonectria macrodidyma
PAV62499.1	#39d392	Diploscapter pachys
KAI5791080.1	#7f7d6a	Geopyxis carbonaria
PSN61612.1	#d768dc	Corynespora cassiicola
XP_038636600.1	#74ae06	Scyliorhinus canicula
KAI0220986.1	#7ce125	Massospora cicadina
CZT50102.1	#b1f33d	Rhynchosporium secalis
RKP26899.1	#289d2e	Syncephalis pseudoplumigaleata
MCJ1361156.1	#198b96	Acarospora aff. strigata
XP_011494200.1	#a6607d	Ceratosolen solmsi
XP_018039479.1	#e2f238	Paraphaeosphaeria sporulosa
XP_007829239.1	#105cda	Pestalotiopsis fici
XP_033597956.1	#e092f4	Pseudovirgaria hyperparasitica
NDZ79888.1	#e26933	Streptomyces sp. SID10853
KNG49834.1	#5a3757	Stemphylium lycopersici
RZC43713.1	#079298	Papaver somniferum
PVI02922.1	#dea7f6	Periconia macrospinosa
EPQ62384.1	#0932f3	Blumeria graminis
SMH67863.1	#9ffbe4	Scolopendra dehaani
CAA2970615.1	#0271ee	Olea europaea
RKP06671.1	#0cfead	Thamnocephalis sphaerospora
RKU40784.1	#b3e639	Coniochaeta pulveracea
KAG7270566.1	#dc3cfd	Coryphaenoides rupestris
WP_250814030.1	#048089	Neorhizobium tomejilense
MBW0515460.1	#eb2c0c	Austropuccinia psidii
WP_253546606.1	#4fdbae	Pseudomonas mandelii
AWO14304.1	#c4ffae	Eleocharis dulcis
XP_024756953.1	#20d34b	Trichoderma asperellum
XP_003000370.1	#4af7a5	Verticillium alfalfae
XP_037902495.1	#56b13c	Hermetia illucens
XP_041225194.1	#6b73bd	Suillus fuscotomentosus
XP_024695991.1	#652f9d	Aspergillus campestris
XP_012230110.1	#b8de64	Linepithema humile
KAB5589411.1	#3fa14b	Ceratobasidium theobromae
TKR74270.1	#de05db	Populus alba
XP_007829380.1	#105cda	Pestalotiopsis fici
MCL4158316.1	#8e8620	Idotea baltica
CAH2043544.1	#d2f98e	Iphiclides podalirius
XP_013776190.1	#4ffc5c	Limulus polyphemus
XP_037783796.1	#b874ec	Penaeus monodon
KAI1199057.1	#1b90b1	Nemania serpens
RMY55129.1	#aef9dd	Hortaea werneckii
PSR84012.1	#7fa091	Coniella lustricola
RZC46467.1	#079298	Papaver somniferum
KXH30469.1	#03f3a4	Colletotrichum salicis
PGH13112.1	#273fe0	Helicocarpus griseus
XP_003551647.1	#b9e0fe	Glycine max
XP_033755241.1	#e8aefe	Pecten maximus
KAF8357505.1	#4d1c34	Pristionchus pacificus
KAI0016289.1	#d99845	Xylariomycetidae sp. FL0641
OAL44068.1	#2b6d00	Pyrenochaeta sp. DS3sAY3a
XP_026281547.1	#c668a4	Frankliniella occidentalis
KAG8386537.1	#2066c4	Buddleja alternifolia
XP_045971260.1	#719baa	Morchella importuna
KAB5516965.1	#3eac4f	Coniochaeta sp. 2T2.1
KAF4978788.1	#0e9df3	Fusarium zealandicum
KAG9131658.1	#5e2adc	Lithospermum erythrorhizon
KAF5586631.1	#a33cc1	Fusarium pseudoanthophilum
XP_040615671.1	#5a56d1	Sporothrix brasiliensis
EXC25716.1	#0048c1	Morus notabilis
XP_023456558.1	#165a49	Cercospora beticola
BAB83773.1	#dc235e	Penaeus japonicus
KAH7379109.1	#2be37e	Phaeosphaeria sp. MPI-PUGE-AT-0046c
WP_060549495.1	#271da1	Pseudomonas poae
XP_026615261.1	#6fed48	Aspergillus thermomutatus
KAF3653231.1	#58945d	Capsicum annuum
MCO5592754.1	#bcd5f7	Adiantum nelumboides
XP_046113971.1	#bf563c	Emericellopsis atlantica
KAF7759194.1	#56cb3e	Entomophthora muscae
KAI5850689.1	#f8513b	Tricharina praecox
KAF1950314.1	#f2927f	Byssothecium circinans
RKP06010.1	#0cfead	Thamnocephalis sphaerospora
KAF5335723.1	#6b98f3	Tulosesus angulatus
XP_038740768.1	#be343f	Colletotrichum karsti
XP_008034602.1	#db4614	Trametes versicolor
XP_001800135.1	#2bac35	Parastagonospora nodorum
RVW48288.1	#797b0a	Vitis vinifera
KAF8532852.1	#956bd1	Trichophaea hybrida
XP_043275478.1	#44d8a9	Venturia canescens
KAI0318086.1	#001af4	Amylostereum chailletii
XP_004361643.1	#c5d62a	Cavenderia fasciculata
KAF4622688.1	#3b19ed	Cudoniella acicularis
EQL00258.1	#e50c51	Ophiocordyceps sinensis
XP_015605378.1	#9841e6	Cephus cinctus
OMO76491.1	#f5906f	Corchorus capsularis
ROT63384.1	#98715c	Penaeus vannamei
KAF8753666.1	#5191aa	Rhizoctonia solani
KAF8419475.1	#549f79	Tirmania nivea
KAG6777862.1	#dcc832	Populus tomentosa
PKS05420.1	#670a99	Lomentospora prolificans
CAH0028277.1	#3aa2bf	Clonostachys rhizophaga
XP_024959722.1	#0c9315	Cynara cardunculus
AAX48010.1	#a3c023	Macrobrachium rosenbergii
TRZ17538.1	#34a7e2	Zosterops borbonicus
XP_047471013.1	#40a5e5	Penaeus chinensis
KAI0763600.1	#74b578	Trametes elegans
XP_028838619.1	#9b8f0f	Denticeps clupeoides
KAF1359010.1	#09d49e	Lizonia empirigonia
XP_046574975.1	#59fb70	Haliotis rubra
KAI5080795.1	#9dee7b	Adiantum capillus-veneris
VDM62521.1	#1327d3	Angiostrongylus costaricensis
XP_018046967.1	#07be58	Atta colombica
KAI4192853.1	#7a87a6	Caloplaca aetnensis
KAH6800157.1	#f47900	Perilla frutescens
BAU51618.1	#837036	Cynops pyrrhogaster
PWA80842.1	#1cbd15	Artemisia annua
VUC27282.1	#8e4345	Clonostachys rosea
KAF2896224.1	#dd2c8e	Ignelater luminosus
XP_007293257.1	#c87a00	Drepanopeziza brunnea
KAF7719048.1	#874f0c	Penicillium sp. RFL-2021a
KAI1868288.1	#c1ab78	Wardomyces moseri
KAF2645366.1	#ff3fb5	Massarina eburnea
KAI6383283.1	#f8add9	Pyricularia grisea
XP_017888863.1	#143490	Ceratina calcarata
XP_045623129.1	#86438e	Procambarus clarkii
CAD5214373.1	#21dd25	Bursaphelenchus xylophilus
WP_255814717.1	#3d473e	nan
P56826.1	#299f5b	Sepia officinalis
EZA60532.1	#c3f0ed	Ooceraea biroi
GFS43494.1	#f5324c	Trichonephila inaurata
ONI10340.1	#75fbb8	Prunus persica
XP_049142929.1	#c29828	Colletotrichum lupini
KAI5838786.1	#ce6813	Morchella snyderi
KAH9428180.1	#93a137	Pyricularia oryzae
KAF7743790.1	#56cb3e	Entomophthora muscae
XP_038742395.1	#be343f	Colletotrichum karsti
WP_045316668.1	#3f21ff	Lentzea aerocolonigenes
XP_030217389.1	#72e283	Gadus morhua
RJE23969.1	#44e500	Aspergillus sclerotialis
KAF2106338.1	#422f6e	Lophiotrema nucula
XP_017978713.1	#e4af5a	Theobroma cacao
XP_033525280.1	#15f062	Dothidotthia symphoricarpi
TAQ89355.1	#5192c9	Chlorociboria aeruginascens
XP_024693160.1	#652f9d	Aspergillus campestris
MCH8150178.1	#090777	Planctomycetes bacterium
ELT93343.1	#4e1319	Capitella teleta
MCJ1443778.1	#1d70f7	Stictis urceolatum
WP_098072418.1	#374fec	Bacillus toyonensis
KAI2619644.1	#38f46c	Hypoxylon sp. NC1633
PSN65703.1	#d768dc	Corynespora cassiicola
CDN40926.1	#ba96a7	Euphilomedes morini
XP_004246037.1	#fa7db6	Solanum lycopersicum
CAR85700.1	#d7f691	Blaptica dubia
XP_026730285.1	#86158c	Trichoplusia ni
KAI0925031.1	#aa48b5	Taiwanofungus camphoratus
XP_028465566.1	#704727	Sodiomyces alkalinus
KAI5854711.1	#f8513b	Tricharina praecox
XP_047976428.1	#04d11d	Salvia hispanica
KAH8790171.1	#d26747	Hyaloscypha finlandica
VDC03107.1	#0f003a	Peniophora sp. CBMAI 1063
KAG6558006.1	#54b3f0	Marchantia paleacea
MBI2005408.1	#f932b3	Candidatus Aenigmarchaeota archaeon
CAB62053.1	#f74b4a	Camponotus festinatus
KAI5331124.1	#f6bdcd	Prunus dulcis
KEY73873.1	#07e010	Stachybotrys chartarum
KAF1836757.1	#b223e8	Decorospora gaudefroyi
XP_014237910.1	#132b10	Trichogramma pretiosum
TLD26588.1	#ce051f	Pyricularia sp. CBS 133598
KAH8763637.1	#3dac1c	Diaporthaceae sp. PMI_573
KAG8987313.1	#6b6bd6	Tulasnella sp. 427
KOF99084.1	#48999e	Octopus bimaculoides
XP_045503562.1	#ea7b03	Colias croceus
KAH9509971.1	#c07b6a	Bulinus truncatus
KPI17699.1	#7bcf36	Actinobacteria bacterium OK074
CCA94917.1	#506a95	Euphrynichus bacillifer
PQE10679.1	#557504	Rutstroemia sp. NJR-2017a BBW
KAG8704519.1	#5d198e	Ceratobasidium sp. 423
WP_189170466.1	#18bc54	Pilimelia anulata
KAI1343244.1	#0a2b88	Xylariaceae sp. FL0016
KMZ60041.1	#1acf0f	Zostera marina
KAF3935704.1	#db3f94	Dactylella cylindrospora
KXJ87917.1	#c3d540	Microdochium bolleyi
XP_009219389.1	#d8e6f5	Gaeumannomyces tritici
PPJ55666.1	#61392c	Cercospora berteroae
XP_044004022.1	#1a690f	Aphidius gifuensis
KDQ14083.1	#8e9017	Botryobasidium botryosum
KAI5776378.1	#7f7d6a	Geopyxis carbonaria
KAF8066692.1	#993194	Lyophyllum atratum
XP_016415576.1	#3bb3de	Sinocyclocheilus rhinocerous
XP_007810005.1	#4ad79b	Metarhizium acridum
KAI5784411.1	#fee3d2	Pyronema domesticum
CAB3384083.1	#bf7d07	Cloeon dipterum
PPD99134.1	#4e641e	Gossypium barbadense
KIM83205.1	#68c19f	Piloderma croceum
MCJ1234766.1	#23ad00	Varicellaria rhodocarpa
XP_015866933.2	#98d7c8	Ziziphus jujuba
XP_033376921.1	#8b938b	Aaosphaeria arxii
PHH90273.1	#f24625	Cordyceps sp. RAO-2017
XP_033524779.1	#15f062	Dothidotthia symphoricarpi
XP_033402099.1	#7bec81	Aplosporella prunicola
XP_024719242.1	#44b6eb	Amorphotheca resinae
XP_017773559.1	#8ed108	Nicrophorus vespilloides
KAF9891369.1	#eea23d	Aspergillus nanangensis
KAG5889587.1	#0c0546	Gonioctena quinquepunctata
UKZ71254.1	#6898d5	Trichoderma atroviride
GFV70499.1	#922f4d	Trichonephila clavipes
KAI0132820.1	#e2fa42	Xylariales sp. AK1849
MCJ1477585.1	#ceb6d4	Lambiella insularis
ROW08234.1	#365054	Valsa malicola
MBW4618099.1	#1067c3	Cyanosarcina radialis
KAF7747629.1	#56cb3e	Entomophthora muscae
SDH28872.1	#0b0aab	Sinosporangium album
AUO15573.1	#c08674	Haplotropis brunneriana
KAH9218205.1	#e94bc3	Leptodontidium sp. 2 PMI_412
WP_147254047.1	#c960c8	Pseudonocardia hierapolitana
KAH6896172.1	#642fbe	Coprinopsis sp. MPI-PUGE-AT-0042
MCJ1295169.1	#688638	Xylographa carneopallida
KAI3377555.1	#0737d8	Scortum barcoo
GJN39479.1	#0d35ac	Eleusine coracana
CAF9924905.1	#2094f4	Heterodermia speciosa
CZT04100.1	#640eee	Rhynchosporium agropyri
KAI0168045.1	#061ff2	Pestalotiopsis sp. NC0098
KAI5060330.1	#9dee7b	Adiantum capillus-veneris
TEB21447.1	#630190	Coprinellus micaceus
KAH6663009.1	#6eb565	Halenospora varia
OMJ22112.1	#696e2f	Smittium culicis
XP_038068636.1	#faad64	Patiria miniata
XP_026677612.1	#ccc642	Diaphorina citri
XP_020454203.1	#70a8fa	Monopterus albus
OCL15161.1	#4242ca	Glonium stellatum
GES57103.1	#4cbd59	Aspergillus terreus
KAH8912456.1	#7d4e7f	Coniochaeta sp. PMI_546
KAH7856540.1	#e27e04	Vaccinium darrowii
KAG7285381.1	#0e47c7	Staphylotrichum longicolle
KAI1152315.1	#57dc31	Nemania diffusa
RKP14641.1	#b3dd5e	Piptocephalis cylindrospora
KAF5236897.1	#539819	Fusarium anthophilum
KAH6841406.1	#71bfaa	Alternaria alternata
CAG5108704.1	#be3c67	Cotesia congregata
XP_033453610.1	#2dbd29	Didymella exigua
VDM95248.1	#b8aec7	Thelazia callipaeda
KAG8377225.1	#2066c4	Buddleja alternifolia
WP_156727742.1	#6b8ade	Streptomyces apocyni
OMJ24982.1	#696e2f	Smittium culicis
XP_007399742.1	#9b6ae8	Phanerochaete carnosa
PHH65690.1	#bed756	Ophiocordyceps australis
RYP25699.1	#063c7a	Monosporascus sp. mg162
XP_049771922.1	#ca6792	Schistocerca cancellata
VDM97282.1	#b8aec7	Thelazia callipaeda
KAF6200464.1	#0081ba	Apolygus lucorum
XP_033525331.1	#15f062	Dothidotthia symphoricarpi
XP_025587387.1	#d4ad27	Fusarium venenatum
TFK70685.1	#2ac827	Pluteus cervinus
